name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Casa Lola - Hip Victorian,102.0,District 6,Private room,2,2,1.0,1.0,1.5,bath
Stroll to East Nashville Restaurants from Cozy Guest Suite,118.0,District 6,Entire home/apt,1,2,1.0,1.0,1.0,bath
The Stewart House in 12th South - Half House,148.0,District 18,Entire home/apt,2,2,1.0,1.0,1.0,bath
Home (3BR) Close to everything EAST Nashville,156.0,District 5,Entire home/apt,3,7,3.0,3.0,1.5,bath
Musician's Abode - East Nashville,158.0,District 6,Entire home/apt,1,4,2.0,4.0,1.0,bath
Rollin On The River,105.0,District 7,Entire home/apt,2,4,1.0,2.0,1.0,bath
"2 Bedroom near City Center, Long Term Stays Only",260.0,District 6,Entire home/apt,30,4,2.0,2.0,1.0,bath
4BDRM/7QUEEN Artist's Home*Deck*Gated w/a Park,151.0,District 17,Entire home/apt,3,14,4.0,6.0,2.0,bath
The Ruby at Music Row,167.0,District 19,Entire home/apt,1,4,2.0,2.0,1.0,bath
Sweet cottage on Nashville farm!,138.0,District 34,Entire home/apt,90,4,1.0,3.0,1.0,bath
"PRIVATE bd/bth, Great Location, Off-Street Parking",120.0,District 7,Private room,1,2,1.0,1.0,1.5,bath
"Clean, Modern Five Points Apartment",156.0,District 5,Entire home/apt,2,6,2.0,2.0,1.0,bath
Travelers SUNNY PARADISE RM Female  Non Smkr  plz,35.0,District 12,Private room,31,5,1.0,1.0,1.0,shared bath
Sun-drenched 2nd Fl Apt w/ Private Entrance,102.0,District 5,Entire home/apt,2,2,1.0,2.0,1.0,bath
Charming private apt. in hip area,128.0,District 6,Entire home/apt,1,2,1.0,1.0,1.0,bath
Germantown House Walkable December Holiday Special,243.0,District 19,Entire home/apt,2,10,3.0,6.0,2.5,bath
Well Appointed Craftsman Style Row Home in Nations,215.0,District 20,Entire home/apt,2,10,3.0,5.0,2.5,bath
2BR - Sleeps 4 - Kid Friendly! Upstairs Suite,126.0,District 15,Private room,2,4,2.0,2.0,1.0,private bath
"Charming room, 5 Points Nashville. private bathrm",60.0,District 6,Private room,2,2,1.0,2.0,1.0,private bath
No more new rentals allowed,2750.0,District 11,Entire home/apt,60,12,4.0,5.0,4.5,bath
Freedom Annex,99.0,District 20,Entire home/apt,3,5,1.0,4.0,1.0,bath
Spacious 4BR House near Downtown,314.0,District 19,Entire home/apt,2,10,4.0,4.0,2.5,bath
Dreamy Tiny House Cottage-Most Wish-listed in Tennessee,122.0,District 17,Entire home/apt,1,4,1.0,2.0,1.0,bath
Cozy East Nashville Cottage with Relaxed Southern Style,96.0,District 5,Entire home/apt,1,4,1.0,1.0,1.0,bath
"Opryland Incredible 2 Bedroom-Music, Mall, Groups+",228.0,District 15,Entire home/apt,2,8,2.0,4.0,2.0,bath
4 Bedroom New Constr 1 Acre Estate,750.0,District 23,Entire home/apt,1,7,4.0,5.0,4.5,bath
The Jackson,127.0,District 16,Entire home/apt,1,4,2.0,2.0,1.0,bath
Wyndham Nashville- 2 bdrm condo,169.0,District 15,Entire home/apt,2,6,2.0,3.0,2.0,bath
Eastside Haven/Convenient/Comfortable/Cozy/Clean,111.0,District 2,Entire home/apt,30,4,2.0,2.0,1.0,bath
2 Bedroom Apt for CMA Fest,250.0,District 18,Entire home/apt,1,4,2.0,2.0,1.0,bath
Minimalist Studio w/Mini-Kitchen,38.0,District 8,Entire home/apt,30,2,1.0,1.0,1.0,bath
Hip East Nashville Paradise. Pet Friendly!,234.0,District 7,Entire home/apt,1,4,2.0,3.0,1.0,bath
Welcome to 12 South comfort!,512.0,District 17,Entire home/apt,2,6,3.0,3.0,3.0,bath
Poplar Hollow Barn,126.0,District 35,Entire home/apt,2,5,3.0,3.0,1.0,bath
KenJi Retreat,119.0,District 8,Entire home/apt,3,2,1.0,1.0,1.0,bath
Quaint Apt. 3 mi to DT & 1 mi to HillsboroVillage,91.0,District 18,Entire home/apt,1,3,1.0,1.0,1.0,bath
Beautiful Victorian in heart of 5 points/downtown,306.0,District 6,Entire home/apt,2,8,3.0,-1.0,2.5,bath
Cozy Chic Cottage in Popular East Nashville,224.0,District 6,Entire home/apt,3,10,4.0,5.0,2.0,bath
Belmont Modern Loft Guest House,179.0,District 18,Entire home/apt,1,2,1.0,1.0,1.0,bath
Casual Comfort at The Hotel Not California,148.0,District 16,Entire home/apt,2,3,1.0,2.0,1.0,bath
!!DOWNTOWN CONDO WITH GREAT POOL AND VIEW!! 84,93.0,District 19,Entire home/apt,1,6,1.0,5.0,1.0,bath
Spacious Home in Cool East Nashville - #2019071966,450.0,District 5,Entire home/apt,2,8,3.0,3.0,2.5,bath
Apartment on Broadway!,56.0,District 19,Entire home/apt,1,4,1.0,1.0,1.0,bath
12 South Loft - Private Guesthouse,185.0,District 17,Entire home/apt,3,3,1.0,2.0,1.0,bath
2 Blocks from Music Row! • Mins to Downtown!,217.0,District 17,Entire home/apt,30,8,3.0,4.0,1.0,bath
Luxury Hillsboro Village Condo,137.0,District 18,Entire home/apt,30,2,1.0,1.0,1.0,bath
Period Cottage in the Foodie East Nashville Neighborhood,300.0,District 7,Entire home/apt,30,12,4.0,6.0,2.0,bath
Creatives Dream! Berry Hill Area-Jimi Hendrix Room,37.0,District 17,Private room,30,1,1.0,1.0,1.0,shared bath
Creatives Dream! Berry Hill Area-Jim Morrison Room,37.0,District 17,Private room,30,1,1.0,1.0,1.0,shared bath
Spacious E Nashville 2nd Fl Suite,120.0,District 6,Private room,2,4,2.0,2.0,1.0,shared bath
New Furniture Adorable House Slow Season Specials,154.0,District 16,Entire home/apt,2,6,2.0,4.0,2.0,bath
Cozy Lockeland Springs Private Loft,88.0,District 6,Entire home/apt,2,4,1.0,1.0,1.0,bath
4BR in East Nashville on Greenway,200.0,District 6,Entire home/apt,3,6,4.0,5.0,2.5,bath
Fantastic Location! West End/Vanderbilt/Elliston,90.0,District 21,Entire home/apt,90,4,2.0,2.0,2.0,bath
Nashville Cottage at 5 Points,99.0,District 6,Entire home/apt,1,3,2.0,2.0,1.0,bath
"Downtown Nashville ""Music City Downtown Hideaway!""",259.0,District 19,Entire home/apt,3,10,3.0,6.0,2.5,bath
Gorgeous Home in Nashville’s Best Neighborhood,500.0,District 6,Entire home/apt,2,8,4.0,5.0,3.0,bath
CONDO IN THE HEART OF GREEN HILLS,700.0,District 34,Entire home/apt,1,8,2.0,4.0,2.0,bath
River home in park like setting.,90.0,District 7,Private room,1,2,1.0,1.0,1.0,shared bath
Private Room for One in Vandy area house!,98.0,District 18,Private room,1,1,1.0,1.0,1.0,shared bath
"Condo in Brentwood, TN",63.0,District 4,Entire home/apt,1,2,1.0,1.0,1.0,bath
